"","NPC","d5","d25","d45"
"NAIP",0.292009961017525,1.20550168682133,0.811198312138944,0.854241145807109
"NEFL",28.3076167077727,597.340567885736,1200.53709111671,1381.30130299003
"NFATC4",45.4679770329963,2.41927145689485,3.84044275216768,3.28441165372099
"NGF",3.75487392748504,0.190964534459356,0.486005158207176,1.08611492289962
"NONO",533.184916755556,357.199958839401,225.159224664555,208.864341520296
"NTF3",7.01137115290782,0.450314179569329,0.465791757824992,0.298455021164136
"NTF4",0.888233089474718,0.0738333887891757,0.0890727314352604,0.192376157748039
"NTRK1",1.07172631735628,228.551706754062,9.27486908791275,3.63831182927875
"NTRK2",15.5886272298228,36.3159397006202,48.374314748651,54.3770596627738
"NR4A2",1.29544991046924,8.01657609131691,2.60535379477545,2.2217821646862
"PDPK1",12.6435151252312,28.9920680875019,32.0266468596506,30.4930308948293
"SERPINF1",74.3322145043057,7.5737296253537,6.25354583550146,7.89106765403962
"PIK3CA",20.4251960516274,31.2439958603797,38.2777211936785,35.1576564609099
"PIN1",71.617408877977,93.130795234746,86.9938007551396,92.7113716066424
"POU4F1",0.390949377670699,0.105306805676271,0.47827437677488,0.534785704801246
"PPARA",6.11636295284631,1.34336663065345,3.16588999581241,4.72258566607398
"PPP5C",86.2654627569755,99.4119388453759,91.8720056990017,97.3900261086315
"PPT1",302.941450210563,88.502127108526,111.152436358251,151.144254671182
"PRKCG",28.8999076763023,30.5921113605545,27.5662373151414,42.192817912818
"PRKCI",62.6998010001555,53.4758968795329,67.6514900500352,68.0934235537424
"LGMN",160.94770270131,33.2053048586159,37.4861902086921,51.8127454093301
"PSEN1",66.2694722441353,62.4210417054072,45.9665647142506,45.7715837623626
"PSMC1",13.7274675311059,22.7995778865572,18.6762081891401,14.9090983815965
"PTPRZ1",492.915683983902,46.5334365829536,83.9652389590118,94.7407067172149
"RASA1",62.5940250422448,103.714509117024,82.6543420500724,83.4910484327181
"REL",4.00338750099138,2.95846482942628,4.11203048982303,3.84268080929136
"REST",60.8111866269582,2.12923930020053,0.270673353947758,0.433767993064895
"ROCK1",41.2752600315969,40.1165809216124,24.9714828995478,24.3568011275664
"CCL2",13.6504911812837,0.786091185805324,1.57684933854073,3.86910947845593
"CX3CL1",13.6399231676416,10.4294146145705,40.6542443588785,57.0499221037438
"MAP2K4",52.10857222067,88.5266711883519,112.012673646522,119.466220833191
"SET",563.8669156761,335.219361921207,292.680364344171,280.257076224847
"ITSN1",31.180168444386,63.8357525631712,55.9130165654701,63.0643261424296
"SIX1",0.124134628886968,0.0744860596293013,0.0449300573482833,0.0315306689174444
"SNCB",0.429445281226366,8.130774236855,157.29683597161,176.533770225239
"SNCA",9.06544391726305,15.7494169944459,40.2923289248472,109.998871865777
"SOD1",373.398281894098,199.224271626535,293.723741108355,296.434371102185
"SOD2",23.570053515478,24.8525863368371,59.7314389557585,53.9390419309092
"SORL1",18.4575828348237,5.14719470178026,12.9923234715229,17.793184135287
"STAR",2.16276681455819,8.49812130768389,8.8084604454441,6.51754295605908
"STAT3",60.4657406649216,46.4633962177959,49.3391754225268,52.3169166802749
"STXBP1",45.4204799363789,418.505989153698,772.639048388857,817.728859203615
"SULT1A3",0,0.0183681464701896,0.0340369432251545,0.020749900485068
"TERT",12.1556016427763,0.105510526464242,0,0
"TFAP2B",0.0432275851747679,0.0304320684323504,0.49621107245395,1.20218419078097
"TGFB3",0.968792528170372,2.35084912662422,4.00886949607732,3.61585534277002
"TNFRSF1B",1.4962813128434,0.130540668823195,0.0465701860105996,0.187255142249835
"TRAF2",37.3680431773184,21.715641240058,27.2736388234859,27.5394503351668
"TSC1",40.9614057039394,139.688721703886,127.323047000972,115.70763714406
"TYRO3",159.925314038103,16.5027100514475,41.926273380673,35.659161351654
"UCN",3.68396633088757,9.97125072431618,19.3067777344471,14.1351977617133
"WFS1",50.2576217011469,19.1846244736395,21.1089259427524,30.4370615277245
"WNT1",0.372681517240834,0,1.49533394099599,1.36090343762417
"XRCC2",96.8688338109552,3.54538037498829,1.59548063559977,1.43634900264266
"MAP3K12",27.4972639351365,188.967148818585,135.962203179674,125.750222200571
"BTG2",83.3583090949019,24.7128116773767,38.4420948217533,20.9502750201462
"NR4A3",4.56485553656475,7.92691840189596,17.251497531792,6.67450380918665
"GDF5",0.432695504419257,0.176111111568899,0.510202526775667,0.700977518504779
"FZD1",36.3240580369545,15.6600047529496,5.69119496753955,5.37353530596033
"FZD9",15.1091528983455,4.2851689541339,9.78628052834304,14.8447085704946
"IKBKG",1.41474051817082,2.1598020180897,1.55969050653635,1.53237698048756
"NRP1",6.24242175736066,224.230366503185,111.575653520322,113.70064888498
"SYNGAP1",126.711753513557,210.97747326016,276.180492374557,257.527448807243
"ALKBH1",28.3174754178603,33.0932130646809,33.8658420367528,30.5949392853784
"CRLF1",1.68625990365865,2.41520182393709,6.74524815438856,7.39157486715042
"KIF14",62.6888529572478,0.964425899225562,0.632949346970243,0.513283950684474
"PARP2",105.034113521948,139.118696332436,126.521269576109,114.614637711495
"GPNMB",0.0741483542529194,0.180329602771551,0.773319613582732,1.55421956849406
"HYOU1",185.317559327018,110.205223654342,99.707609635639,143.763539340312
"ATG7",8.93193497099036,7.15258892394111,7.13199097557656,6.63886346073452
"STAMBP",37.4101587010329,34.7488117964762,34.8884806190223,36.7565410706014
"CHL1",0,0.00735811355010973,0.0139240043559004,0.0161001176543574
"NES",1449.76718611957,711.628229029557,161.132223355819,143.19702342126
"PPARGC1A",3.51156914352398,7.03797930615952,36.9500293141747,31.6605242941431
"CORO1A",14.2298522888134,58.3009141247228,65.549617994843,63.1371677246279
"PARK7",309.127677458513,205.490687765881,227.747268448493,232.680999248624
"FAIM2",3.92539120423477,33.9865937146034,125.062129042523,175.114818442623
"ADNP",199.58402828556,262.941791429778,211.140053290932,215.001079625254
"ATP13A2",65.4695527984977,145.527472770395,191.990360249413,241.92391553955
"SIRT1",58.8715022490329,65.6442330867023,51.4462672522491,48.0732642497461
"CLCF1",28.0079269190942,7.12240798021641,5.3315066349983,7.10424955034124
"SLC7A11",169.821290905975,4.22462244580659,1.5765217458312,3.43839329752103
"FBXO7",50.6276587685798,47.956301452631,40.9857449832052,42.3666915608651
"FGF20",0,0.291241800229949,0.936177697441031,0.906009977163798
"FGF21",1.07840551702749,0,0.405637042572239,0.140621365570451
"FOXB1",0.038620276630432,0.0374063755369313,0.0353926677243863,0.387545835514172
"TOX3",186.287388373678,23.7374003156343,30.459380634224,22.8135423323755
"HTRA2",31.8477566545707,49.0019764774194,53.5933487992735,43.7529570726675
"HIPK2",93.5448360447684,107.266301625344,70.7410735058658,76.8475332782901
"CHMP4A",3.77059338744165,11.3894316676036,8.96358444713932,9.13055781201142
"SIX4",18.555689034173,0.953270053205081,2.43725806822454,3.29399317042464
"OXR1",30.3944433181911,18.1959812581808,31.0260145080391,28.7986409968188
"SLC30A10",2.6416559793555,2.43873318573371,12.6116471432174,17.9239074902541
"AMBRA1",31.393991450249,51.194746106476,54.2467619152079,55.3463220443219
"VPS35",88.1935021821625,105.030058533018,88.1952394205229,105.476710306614
"BARHL1",0.221743732125447,0.210980753140863,0.119075273026183,0.23908430451633
"SNX6",88.0268647508534,57.1279186885986,42.3724198471729,34.8979656493471
"NMNAT1",9.6987053779256,8.10262766274878,9.32028465214944,9.3964941657491
"PINK1",10.2108478320303,29.8233774709328,41.5829081082218,47.6856061302278
"NDNF",64.2702122654092,0.538969762996151,0.175791396111607,0.224254916064987
"CPEB4",10.066402717649,53.2956190505797,101.745818182521,94.3064398570099
"DNAJC5",70.3320019008406,179.901298607388,271.886464176888,266.98851916667
"BHLHB9",43.4851462927458,51.8645899464721,58.1862997440566,63.675857240034
"TFAP2D",0,0,0.0369541437959373,0
"BTBD10",54.7883289188636,122.333467690857,150.367074560185,173.001552737042
"KDM2B",44.1827958505174,30.1734252674667,29.4792317090841,26.83650997197
"WNT3A",0.462683894810315,0,0.0749108791160777,0.15489940029052
"TMEM259",230.893100795269,267.878423377288,242.899106276782,220.55476214527
"FOXQ1",0,0,0.106727673595108,0.0711824289190211
"AGAP2",8.40256415746872,68.5182935259177,200.478008289593,206.412762932901
"LRRK2",0.663919736705545,0.106507200570708,0.28350939841703,0.541155263846094
"VSTM2L",7.24816754873523,88.9090171339522,180.017112181932,197.964660742368
"CHMP4B",228.308532091701,217.538624039557,318.731221827783,295.92374902149
"CD200R1",0.137199015335817,0.585704510439273,1.18875882398553,0.753239735443856
"NCOA7",8.21821438502791,24.2562116558822,37.330625958204,54.4322774003938
"PM20D1",0.326734641280206,0.0333423316759947,0.197282506743488,0.426231263423477
"UNC5B",53.7366161804473,34.7825101306626,26.6629315083885,28.541352047193
"NRBP2",64.8419610427177,180.569386269731,152.802374115758,157.306826458475
"DRAXIN",17.1817788735522,57.6291442602936,44.816637346604,51.331006240061
"GFRAL",0.136921564014953,0.259652395299512,0.582446168171236,0.430294677905192
"MIR15B",0,0,0,0
"MIR181C",0,1.70115262536838,17.3320290866912,7.7655346804166
"MIR200C",0,0,0,0
